date,ticker,pred_horizon_return,gross_return,net_return,success,hormuz_closure,red_sea_disruption,sanctions_escalation,oil_above_100,gold_above_3000,silver_above_40,taiwan_strait_crisis,russia_ukraine_ceasefire,us_recession,middle_east_war_escalation,regime,month
2024-11-12,SBLK,0.05571314816499613,-0.22060298863325623,-0.22860298863325623,0,0.5,0.5,0.5,0.5,0.04621233981198261,0.075,0.03684879507766003,0.08437588761708012,0.155,0.32774697508632417,High Hormuz,11
2024-11-13,AR,0.1848492282199269,0.059634455631763394,0.051634455631763394,1,0.5,0.5,0.5,0.5,0.0365468378372713,0.08,0.03147988710280889,0.08437588761708012,0.155,0.2892415725664257,High Hormuz,11
2024-11-13,RRC,0.12865462742099582,0.06369801996849489,0.05569801996849489,1,0.5,0.5,0.5,0.5,0.0365468378372713,0.08,0.03147988710280889,0.08437588761708012,0.155,0.2892415725664257,High Hormuz,11
2024-11-14,AR,0.21459303859879372,0.06445245295321667,0.056452452953216666,1,0.5,0.5,0.5,0.5,0.03284554915955262,0.09,0.03147988710280889,0.08437588761708012,0.155,0.25484511755635486,High Hormuz,11
2024-11-14,RRC,0.14316994672081476,0.051144732422758965,0.043144732422758965,1,0.5,0.5,0.5,0.5,0.03284554915955262,0.09,0.03147988710280889,0.08437588761708012,0.155,0.25484511755635486,High Hormuz,11
2024-11-15,AR,0.1651334204029119,0.0357494313142106,0.0277494313142106,1,0.5,0.5,0.5,0.5,0.025759068640292402,0.085,0.030015639473304028,0.08437588761708012,0.145,0.31352585218923934,High Hormuz,11
2024-11-15,RRC,0.0971152425747902,0.033193799519626754,0.025193799519626754,1,0.5,0.5,0.5,0.5,0.025759068640292402,0.085,0.030015639473304028,0.08437588761708012,0.145,0.31352585218923934,High Hormuz,11
2024-11-18,AR,0.12715080566370465,-0.011267624468077053,-0.019267624468077053,0,0.5,0.5,0.5,0.5,0.03751166409842085,0.055,0.027087144214294315,0.07453799472952684,0.115,0.44990630133535264,High Hormuz,11
2024-11-18,RRC,0.07132234898156135,-0.0029196634779881103,-0.01091966347798811,0,0.5,0.5,0.5,0.5,0.03751166409842085,0.055,0.027087144214294315,0.07453799472952684,0.115,0.44990630133535264,High Hormuz,11
2024-11-18,SBLK,0.029404790125270114,-0.2690802744603693,-0.2770802744603693,0,0.5,0.5,0.5,0.5,0.03751166409842085,0.055,0.027087144214294315,0.07453799472952684,0.115,0.44990630133535264,High Hormuz,11
2024-11-19,SBLK,0.2018220178759319,-0.25262108068674816,-0.26062108068674816,0,0.5,0.5,0.5,0.5,0.03698577913458995,0.06,0.029039474386967457,0.06470010184197357,0.12,0.5527021929673206,High Hormuz,11
2024-11-19,DHT,0.10839583909479387,-0.15428036930073064,-0.16228036930073064,0,0.5,0.5,0.5,0.5,0.03698577913458995,0.06,0.029039474386967457,0.06470010184197357,0.12,0.5527021929673206,High Hormuz,11
2024-11-19,FRO,0.08302887699476652,-0.327804891074576,-0.335804891074576,0,0.5,0.5,0.5,0.5,0.03698577913458995,0.06,0.029039474386967457,0.06470010184197357,0.12,0.5527021929673206,High Hormuz,11
2024-11-20,SM,0.188524534951233,-0.1785075550354901,-0.1865075550354901,0,0.5,0.5,0.5,0.5,0.043251675095336825,0.06,0.028551391843799172,0.05978115539819692,0.125,0.3727725082730623,High Hormuz,11
2024-11-20,MTDR,0.1883146295988679,-0.1113551895675059,-0.1193551895675059,0,0.5,0.5,0.5,0.5,0.043251675095336825,0.06,0.028551391843799172,0.05978115539819692,0.125,0.3727725082730623,High Hormuz,11
2024-11-20,SBLK,0.17785437093020212,-0.22403791250186134,-0.23203791250186134,0,0.5,0.5,0.5,0.5,0.043251675095336825,0.06,0.028551391843799172,0.05978115539819692,0.125,0.3727725082730623,High Hormuz,11
2024-11-21,AR,0.1476861145805722,-0.07395212897787806,-0.08195212897787807,0,0.5,0.5,0.5,0.5,0.043506370104914906,0.055,0.030991804559640602,0.05978115539819692,0.13,0.40325697315676373,High Hormuz,11
2024-11-21,RRC,0.12029808335436842,-0.06719143688933438,-0.07519143688933438,0,0.5,0.5,0.5,0.5,0.043506370104914906,0.055,0.030991804559640602,0.05978115539819692,0.13,0.40325697315676373,High Hormuz,11
2024-11-21,MTDR,0.05684447003659823,-0.11785239645230638,-0.1258523964523064,0,0.5,0.5,0.5,0.5,0.043506370104914906,0.055,0.030991804559640602,0.05978115539819692,0.13,0.40325697315676373,High Hormuz,11
2024-11-22,AR,0.1569202788531766,-0.024161861139030627,-0.03216186113903063,0,0.5,0.5,0.5,0.5,0.04855559611307279,0.06,0.03245605218914546,0.05978115539819692,0.14,0.43374143804046517,High Hormuz,11
2024-11-22,RRC,0.1128068465285955,-0.042553202850471705,-0.050553202850471705,0,0.5,0.5,0.5,0.5,0.04855559611307279,0.06,0.03245605218914546,0.05978115539819692,0.14,0.43374143804046517,High Hormuz,11
2024-11-22,MTDR,0.05636107759829574,-0.12395336161507697,-0.13195336161507698,0,0.5,0.5,0.5,0.5,0.04855559611307279,0.06,0.03245605218914546,0.05978115539819692,0.14,0.43374143804046517,High Hormuz,11
2024-11-25,AR,0.14721821427869833,0.0006018795678357503,-0.00739812043216425,0,0.5,0.5,0.5,0.5,0.07861470508120941,0.055,0.027087144214294315,0.0519108410881543,0.14,0.5574015712588511,High Hormuz,11
2024-11-25,RRC,0.11813470301525063,-0.03153784567032414,-0.03953784567032414,0,0.5,0.5,0.5,0.5,0.07861470508120941,0.055,0.027087144214294315,0.0519108410881543,0.14,0.5574015712588511,High Hormuz,11
2024-11-25,MTDR,0.1103896366164863,-0.08498055239060487,-0.09298055239060488,0,0.5,0.5,0.5,0.5,0.07861470508120941,0.055,0.027087144214294315,0.0519108410881543,0.14,0.5574015712588511,High Hormuz,11
2024-11-26,AR,0.14459613493356646,-0.008461733998359144,-0.016461733998359145,0,0.5,0.5,0.5,0.5,0.07258205831577759,0.045,0.026110979127957745,0.07060283757450553,0.145,0.7445402960933812,High Hormuz,11
2024-11-26,RRC,0.1282074094415287,-0.04713338318656357,-0.05513338318656357,0,0.5,0.5,0.5,0.5,0.07258205831577759,0.045,0.026110979127957745,0.07060283757450553,0.145,0.7445402960933812,High Hormuz,11
2024-11-26,SBLK,0.11009898826206996,-0.1669439885884909,-0.17494398858849092,0,0.5,0.5,0.5,0.5,0.07258205831577759,0.045,0.026110979127957745,0.07060283757450553,0.145,0.7445402960933812,High Hormuz,11
2024-11-27,SM,0.22061702251600476,-0.15636854449946713,-0.16436854449946714,0,0.5,0.5,0.5,0.5,0.06676051766918963,0.055,0.0275752267574626,0.057813576820686274,0.135,0.8699620944720389,High Hormuz,11
2024-11-27,AR,0.20446726140091315,0.025246296378727218,0.017246296378727217,1,0.5,0.5,0.5,0.5,0.06676051766918963,0.055,0.0275752267574626,0.057813576820686274,0.135,0.8699620944720389,High Hormuz,11
2024-11-27,MTDR,0.19378903447506318,-0.08797853521905086,-0.09597853521905086,0,0.5,0.5,0.5,0.5,0.06676051766918963,0.055,0.0275752267574626,0.057813576820686274,0.135,0.8699620944720389,High Hormuz,11
2024-11-29,SM,0.35049601205197173,-0.14870541292811845,-0.15670541292811846,0,0.5,0.5,0.5,0.5,0.04257067182242088,0.045,0.02806330930063089,0.054370314310042626,0.13,0.8787113330583596,High Hormuz,11
2024-11-29,MTDR,0.3376701134174559,-0.07732043858403959,-0.08532043858403959,0,0.5,0.5,0.5,0.5,0.04257067182242088,0.045,0.02806330930063089,0.054370314310042626,0.13,0.8787113330583596,High Hormuz,11
2024-11-29,MUR,0.18529419817897783,-0.0883893049379827,-0.0963893049379827,0,0.5,0.5,0.5,0.5,0.04257067182242088,0.045,0.02806330930063089,0.054370314310042626,0.13,0.8787113330583596,High Hormuz,11
2024-12-02,SM,0.3033639875942968,-0.12386987226541857,-0.13186987226541858,0,0.5,0.5,0.5,0.5,0.043481218128575264,0.0445,0.027087144214294315,0.04158105355622337,0.13,0.8730893239137923,High Hormuz,12
2024-12-02,MTDR,0.25441822208049797,-0.04465955332608684,-0.05265955332608684,0,0.5,0.5,0.5,0.5,0.043481218128575264,0.0445,0.027087144214294315,0.04158105355622337,0.13,0.8730893239137923,High Hormuz,12
2024-12-02,AR,0.1976620760031085,0.10254791530820384,0.09454791530820383,1,0.5,0.5,0.5,0.5,0.043481218128575264,0.0445,0.027087144214294315,0.04158105355622337,0.13,0.8730893239137923,High Hormuz,12
2024-12-03,MTDR,0.14532463223989533,-0.022715774309082892,-0.030715774309082892,0,0.5,0.5,0.5,0.5,0.041064643008311225,0.05099999999999999,0.026110979127957745,0.03862968568995739,0.13,0.8732713991513233,High Hormuz,12
2024-12-03,SM,0.11162071921288771,-0.09773081640438175,-0.10573081640438176,0,0.5,0.5,0.5,0.5,0.041064643008311225,0.05099999999999999,0.026110979127957745,0.03862968568995739,0.13,0.8732713991513233,High Hormuz,12
