variant,horizon_days,n_periods,annualized_alpha,annualized_return,cagr,information_ratio,sharpe,hit_rate,avg_alpha,max_drawdown,commodity_type,n_tickers
market_event,126,504,0.10127556995272112,0.2979988229600458,0.2584944100125617,0.2751172556749863,0.9347176307451355,0.6527777777777778,0.05063778497636056,-20.866978867471786,oil_services,21
convexity,10,504,0.1000332135592348,0.2669737184398205,0.25315653565113494,0.336846841938424,0.9427572675419065,0.5476190476190477,0.003969571966636301,-2.000200873889505,oil_services,21
market_only,126,504,0.09780352601524492,0.2945267790225696,0.2519022387436187,0.26257353372780873,0.9094525189001805,0.6607142857142857,0.04890176300762246,-21.685591285749595,oil_services,21
market_event,10,504,0.09490772918056273,0.26184823406114843,0.2426350388979479,0.2967633156662387,0.8837443496650063,0.5357142857142857,0.00376617972938741,-2.8815644688301045,oil_services,21
market_only,42,504,0.09428542667557194,0.27332424400122374,0.2563877944681112,0.2912873501965088,0.9531863259389596,0.5436507936507936,0.01571423777926199,-9.055004568513592,oil_services,21
market_only,10,504,0.08506204814612595,0.2520025530267117,0.238571819302132,0.2679651727535928,0.915137151180837,0.5059523809523809,0.003375478101036744,-1.7522628157064148,precious_metals,32
market_only,10,518,0.08493432488274853,0.2473629242260211,0.2617359747817378,0.3897095949364583,1.4806075078762873,0.5096525096525096,0.0033704097175693863,-0.6095753053183368,oil_gas_upstream,57
convexity,42,504,0.07312790512120827,0.25216672244686017,0.22107722700417987,0.21538951199071235,0.8194626460738555,0.5595238095238095,0.012187984186868046,-10.418753872550706,oil_services,21
convexity,5,504,0.06179546323215483,0.2217126183605594,0.19908304338324423,0.19023363433415985,0.7870700306699456,0.4880952380952381,0.001226100460955453,-1.1272434985709852,precious_metals,32
convexity,10,504,0.05745230905256303,0.2243928139331488,0.1961228133842554,0.16910058135125608,0.7488536723659679,0.5158730158730159,0.0022798535338318664,-1.9526037841164983,precious_metals,32
full_cross_market,5,504,0.04736604928569158,0.20728320441409614,0.1770055228065739,0.14234754132962335,0.6987388636766826,0.49603174603174605,0.0009398025651922934,-1.01605069312427,precious_metals,32
