variant,horizon_days,n_periods,annualized_alpha,annualized_return,cagr,information_ratio,sharpe,hit_rate,avg_alpha,max_drawdown,modeled_tickers,prediction_count
full_cross_market,42,539,0.31237640894393776,0.4859488788931161,0.5077910512790158,0.887312730006911,1.432900096755521,0.738404452690167,0.052062734823989626,-3.3341294996350825,244,122377
market_event,10,537,0.27810918241433524,0.44896833000433045,0.5162615917728841,1.0172324103396566,1.832124875307931,0.5996275605214153,0.011036078667235527,-1.095351189891419,244,122441
convexity,10,537,0.2681538283846841,0.4390129759746793,0.49896305819119124,0.9651950087223035,1.7605187630197645,0.6070763500931099,0.010641024935900164,-1.4819397736055269,244,122441
full_cross_market,10,537,0.2596613690429948,0.43052051663298996,0.4753678117355167,0.8731198365380557,1.5470000437337135,0.6201117318435754,0.010304022581071222,-1.3576863031957167,244,122441
market_only,5,535,0.22172293375372953,0.38753935671429646,0.43987729170340484,0.9145555484857516,1.849479417540335,0.5644859813084112,0.004399264558605745,-0.4124762172316676,244,122451
full_cross_market,5,535,0.12473675564885363,0.29055317860942054,0.2969237566984124,0.4732517353975483,1.193549972172771,0.5570093457943925,0.002474935627953445,-0.8041838047263563,244,122451
convexity,5,535,0.0778090804409642,0.2436255034015312,0.24060722522016875,0.2969114916148664,1.0419832736059844,0.5345794392523364,0.0015438309611302422,-1.0284329616245103,244,122451
market_event,5,535,0.07648440890779826,0.2423008318683652,0.23713825886429674,0.27970323164267724,1.0088457488242548,0.5233644859813084,0.001517547795789648,-0.7907322829899335,244,122451
market_event,1,532,-0.4138158391409302,-0.26233307740442896,-0.24863546501085276,-1.6428495353799255,-1.2101890435917633,0.4398496240601504,-0.001642126345797342,-0.5838378994629477,244,122459
convexity,1,532,-0.4405551044914364,-0.2890723427549352,-0.2681673345423552,-1.6504280976597843,-1.3485687339663504,0.44360902255639095,-0.0017482345416326842,-0.7015965196999225,244,122459
market_only,1,532,-0.5274922601281119,-0.3760094983916108,-0.32681438908445437,-2.1767694353182314,-1.9132674010875383,0.4323308270676692,-0.0020932232544766346,-0.9391895933406897,244,122459
full_cross_market,1,532,-0.6629494380654684,-0.5114666763289671,-0.4124447125214682,-2.6643284281794144,-2.573741282090109,0.40037593984962405,-0.002630751738355033,-1.1211666743247224,244,122459
